player_id,NumOfInningsBatted,NotOutInnings,runs_scored,balls_faced,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,balls_bowled,runs_conceded,WCKTS,BW_AVG,BW_SR,BW_ECN,MDO
,,,,,,,,,,,,,,,,,
1201,8,3,465,555,93,0.838,0.5,25.75,111,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
917,1,1,7,3,7,2.333,0,4,7,3,124,74,6,12.333,20.667,3.581,2
,,,,,,,,,,,,,,,,,
609,6,1,198,158,39.6,1.253,0.167,21.667,113,4,102,115,4,28.75,25.5,6.765,0
,,,,,,,,,,,,,,,,,
417,4,0,131,136,32.75,0.963,0.25,20,59,2,60,49,0,49,60,4.9,0
,,,,,,,,,,,,,,,,,
914,4,2,99,92,49.5,1.076,0,9.5,38,2,30,30,0,30,30,6,0
,,,,,,,,,,,,,,,,,
315,1,0,18,41,18,0.439,0,8,18,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1008,7,1,207,278,34.5,0.745,0.143,16,55,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
310,4,1,39,66,13,0.591,0,5.5,22,4,171,156,2,78,85.5,5.474,0
,,,,,,,,,,,,,,,,,
915,1,1,3,3,3,1,0,0,3,1,32,24,1,24,32,4.5,0
,,,,,,,,,,,,,,,,,
415,2,1,45,60,45,0.75,0,10,44,2,48,35,0,35,48,4.375,0
,,,,,,,,,,,,,,,,,
1114,1,1,4,2,4,2,0,4,4,1,30,14,3,4.667,10,2.8,2
,,,,,,,,,,,,,,,,,
1209,1,0,6,4,6,1.5,0,6,6,6,292,270,13,20.769,22.462,5.548,0
,,,,,,,,,,,,,,,,,
712,5,0,22,65,4.4,0.339,0,0.8,16,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
107,3,0,69,74,23,0.932,0.333,5.333,54,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
108,4,3,25,19,25,1.316,0,4.5,12,7,345,231,10,23.1,34.5,4.017,7
,,,,,,,,,,,,,,,,,
419,3,0,19,33,6.333,0.576,0,1.333,13,3,156,159,2,79.5,78,6.115,1
,,,,,,,,,,,,,,,,,
102,6,3,233,256,77.667,0.91,0.333,14.333,93,2,48,40,0,40,48,5,0
,,,,,,,,,,,,,,,,,
903,8,2,262,382,43.667,0.686,0.25,16.5,86,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
409,6,1,78,92,15.6,0.848,0,6,22,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1202,7,1,304,304,50.667,1,0.429,19.143,103,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
510,4,2,1,3,0.5,0.333,0,0,1,8,395,353,11,32.091,35.909,5.362,1
,,,,,,,,,,,,,,,,,
1110,2,0,4,20,2,0.2,0,0,3,6,242,207,9,23,26.889,5.132,0
,,,,,,,,,,,,,,,,,
1211,2,1,7,4,7,1.75,0,3,7,8,426,291,15,19.4,28.4,4.099,1
,,,,,,,,,,,,,,,,,
1115,5,1,65,88,16.25,0.739,0,7.6,42,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
501,8,3,241,295,48.2,0.817,0.125,11.75,91,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1002,6,1,248,336,49.6,0.738,0.5,11.667,83,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
207,2,0,12,27,6,0.444,0,4,11,2,66,53,2,26.5,33,4.818,0
,,,,,,,,,,,,,,,,,
1009,8,1,215,265,30.714,0.811,0.125,16.75,61,8,330,193,8,24.125,41.25,3.509,4
,,,,,,,,,,,,,,,,,
206,3,1,32,65,16,0.492,0,2.667,21,3,132,125,3,41.667,44,5.682,0
,,,,,,,,,,,,,,,,,
804,6,1,68,90,13.6,0.756,0,5.667,24,6,288,252,5,50.4,57.6,5.25,4
,,,,,,,,,,,,,,,,,
208,6,1,81,153,16.2,0.529,0,5,36,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
610,6,1,205,271,41,0.756,0.167,13.333,57,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1208,4,1,64,53,21.333,1.208,0,7,32,6,290,214,5,42.8,58,4.428,4
,,,,,,,,,,,,,,,,,
906,6,0,100,130,16.667,0.769,0.167,7,52,8,300,241,8,30.125,37.5,4.82,1
,,,,,,,,,,,,,,,,,
708,5,2,56,78,18.667,0.718,0,5.6,44,6,258,256,6,42.667,43,5.953,2
,,,,,,,,,,,,,,,,,
1308,2,2,16,13,16,1.231,0,4,11,2,78,63,0,63,78,4.846,0
,,,,,,,,,,,,,,,,,
311,3,0,10,41,3.333,0.244,0,0,7,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
209,5,0,40,75,8,0.533,0,3.2,29,5,222,175,4,43.75,55.5,4.73,2
,,,,,,,,,,,,,,,,,
406,4,1,61,52,20.333,1.173,0,4.5,30,4,138,116,1,116,138,5.043,0
,,,,,,,,,,,,,,,,,
710,2,0,6,3,3,2,0,3,6,2,78,81,1,81,78,6.231,0
,,,,,,,,,,,,,,,,,
811,5,2,3,17,1,0.176,0,0,2,6,358,306,8,38.25,44.75,5.128,4
,,,,,,,,,,,,,,,,,
504,1,0,2,4,2,0.5,0,0,2,3,168,174,4,43.5,42,6.214,0
,,,,,,,,,,,,,,,,,
612,6,0,157,128,26.167,1.227,0.167,18.333,101,6,276,208,4,52,69,4.522,0
,,,,,,,,,,,,,,,,,
1415,6,1,123,188,24.6,0.654,0,7,36,6,294,211,6,35.167,49,4.306,3
,,,,,,,,,,,,,,,,,
801,6,1,173,192,34.6,0.901,0.167,14,84,3,108,99,2,49.5,54,5.5,0
,,,,,,,,,,,,,,,,,
503,1,1,10,7,10,1.429,0,4,10,2,120,93,4,23.25,30,4.65,0
,,,,,,,,,,,,,,,,,
308,5,0,53,124,10.6,0.427,0,4,24,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1205,1,1,4,10,4,0.4,0,0,4,3,174,124,3,41.333,58,4.276,2
,,,,,,,,,,,,,,,,,
1112,5,3,43,37,21.5,1.162,0,6,22,7,336,238,15,15.867,22.4,4.25,5
,,,,,,,,,,,,,,,,,
813,6,1,307,344,61.4,0.892,0.5,22.333,119,6,312,322,7,46,44.571,6.192,2
,,,,,,,,,,,,,,,,,
713,4,1,46,73,15.333,0.63,0,5,24,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
