player_id,NumOfInningsBatted,NotOutInnings,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,BW_AVG,BW_SR,BW_ECN,MDO,HW
1402,5,0,10.0,45.87,0.0,3.2,35,0,0.0,0.0,0.0,0,0
1411,4,2,18.5,62.71,0.0,4.0,11,6,18.778,32.667,3.449,7,0
211,4,1,23.333,60.34,0.0,2.5,38,0,0.0,0.0,0.0,0,0
302,6,0,12.667,105.56,0.0,10.0,37,6,41.333,40.833,6.074,1,0
212,4,3,11.0,57.89,0.0,2.0,8,6,43.2,47.6,5.445,0,0
911,6,0,23.667,86.06,0.167,10.0,57,5,31.75,43.0,4.43,0,0
416,1,0,0.0,0.0,0.0,0.0,0,3,25.5,25.667,5.961,2,1
1419,2,0,29.0,89.23,0.0,11.0,30,2,40.0,66.0,3.636,0,0
1305,4,1,38.0,50.67,0.0,7.0,44,0,0.0,0.0,0.0,0,0
1406,6,0,38.5,85.87,0.5,19.0,85,0,0.0,0.0,0.0,0,0
1302,5,1,4.0,45.71,0.0,0.8,6,6,19.833,23.917,4.976,3,2
512,3,2,74.0,98.67,0.0,8.667,36,1,12.0,12.0,6.0,0,0
704,4,1,3.333,38.46,0.0,1.5,9,5,78.333,84.0,5.595,2,0
714,5,0,8.8,51.16,0.0,4.0,13,3,117.0,126.0,5.571,1,0
112,3,1,26.5,103.92,0.0,7.333,25,5,139.0,162.0,5.148,0,0
514,9,0,53.556,91.98,0.444,28.444,120,2,21.0,24.0,5.25,0,0
114,6,0,48.333,92.36,0.5,28.333,94,7,59.333,78.0,4.564,2,0
113,1,1,0.0,0.0,0.0,0.0,0,7,24.0,28.364,5.077,3,0
715,4,0,9.5,42.22,0.0,3.0,17,0,0.0,0.0,0.0,0,0
1010,2,1,1.0,10.0,0.0,0.0,1,3,18.6,31.2,3.577,1,0
213,5,1,6.5,52.0,0.0,4.4,24,6,33.833,39.333,5.161,4,1
1001,7,0,12.0,125.37,0.0,6.0,20,8,12.857,21.286,3.624,4,4
214,2,0,21.0,58.33,0.0,10.0,37,0,0.0,0.0,0.0,0,0
201,6,0,23.667,71.0,0.167,9.333,55,6,27.875,34.75,4.813,0,0
1011,1,0,0.0,0.0,0.0,0.0,0,3,40.667,48.0,5.083,1,0
307,4,0,5.75,43.4,0.0,2.0,9,1,1.0,3.0,2.0,0,0
910,3,0,4.667,66.67,0.0,1.333,8,8,17.333,24.111,4.313,9,0
605,4,1,14.0,91.3,0.0,5.5,17,5,30.0,32.5,5.539,2,0
806,6,1,34.8,67.18,0.167,12.0,55,6,38.25,41.0,5.598,3,0
1203,9,1,62.5,90.74,0.444,29.778,144,7,15.75,23.25,4.065,2,1
709,5,0,20.4,71.33,0.2,11.2,51,4,44.667,50.0,5.36,3,0
702,5,0,26.6,66.5,0.4,11.6,72,0,0.0,0.0,0.0,0,0
807,5,0,10.0,56.82,0.0,2.4,28,0,0.0,0.0,0.0,0,0
1410,2,1,4.0,30.77,0.0,2.0,4,2,93.0,69.0,8.087,0,0
1212,4,1,14.667,141.94,0.0,6.5,22,4,24.857,26.571,5.613,0,0
405,5,1,10.25,82.0,0.0,2.8,20,7,34.333,42.0,4.905,5,1
1213,7,4,36.667,73.83,0.0,5.714,34,1,4.0,12.0,2.0,0,0
1413,6,0,31.5,77.78,0.333,13.333,98,0,0.0,0.0,0.0,0,0
202,6,0,26.167,89.2,0.167,11.667,70,0,0.0,0.0,0.0,0,0
